NAME,DP03_0062E,DP03_0119PE,DP03_0009PE,DP05_0001E,DP05_0018E,DP05_0019E,DP05_0077PE,DP05_0003PE
"Phillips County, Arkansas",38874,25.4,15.8,15910,39.9,4257,1.4,53.4
"Pike County, Arkansas",51000,14.0,2.6,10182,42.8,2269,6.5,50.8
"Poinsett County, Arkansas",47188,14.2,5.3,22740,39.8,5484,2.8,51.4
"Polk County, Arkansas",49252,15.3,8.4,19348,44.4,4361,6.1,51.1
"Pope County, Arkansas",54606,12.6,4.7,63830,36.7,14797,6.3,50.4
"Prairie County, Arkansas",51094,4.4,4.1,8162,45.8,1649,1.7,49.6
"Pulaski County, Arkansas",60385,12.3,4.9,398949,37.5,93455,5.4,52.2
"Randolph County, Arkansas",52838,16.8,6.3,18733,39.3,4564,2.0,49.8
"St. Francis County, Arkansas",41784,21.8,7.4,22740,39.7,4851,1.0,44.5
"Saline County, Arkansas",76534,6.5,3.8,125724,40.4,29379,4.6,51.0
"Scott County, Arkansas",45955,12.3,6.2,9839,42.4,2267,7.5,47.2
"Searcy County, Arkansas",41978,16.3,5.3,7861,48.5,1614,2.1,49.9
"Sebastian County, Arkansas",56450,11.0,5.8,128448,38.0,30710,10.7,50.8
"Sevier County, Arkansas",51641,12.7,4.9,15797,34.8,4524,33.3,49.7
"Sharp County, Arkansas",42950,12.0,6.5,17597,47.5,3636,2.1,50.9
"Stone County, Arkansas",38531,16.5,4.4,12474,49.2,2500,1.7,50.6
"Union County, Arkansas",50221,15.6,4.4,38368,41.5,9198,3.9,51.2
"Van Buren County, Arkansas",47266,14.9,4.3,15936,49.6,3047,3.0,49.8
"Washington County, Arkansas",66426,8.4,4.2,251863,32.5,59899,13.3,49.7
"White County, Arkansas",53435,13.8,5.1,77395,38.4,18060,3.6,51.1
"Woodruff County, Arkansas",49982,15.2,6.3,6157,44.9,1331,0.5,48.9
"Yell County, Arkansas",58870,8.5,3.5,20195,39.9,4873,14.0,49.3
"Alameda County, California",126240,5.6,5.2,1651949,38.7,331035,16.3,50.4
"Alpine County, California",110781,7.8,3.6,1695,41.1,383,8.8,47.8
"Amador County, California",81526,4.1,6.1,41029,49.9,6356,10.3,45.4
"Butte County, California",68574,10.8,7.1,209470,36.3,42935,16.5,50.2
"Calaveras County, California",79877,8.2,5.9,45995,52.0,7768,10.0,50.3
"Colusa County, California",75149,9.1,8.4,21895,35.7,5987,59.7,48.4
"Contra Costa County, California",125727,5.7,5.9,1161458,40.3,258092,18.0,50.8
"Del Norte County, California",66780,6.9,6.4,27293,40.8,5728,14.9,45.6
"El Dorado County, California",106190,5.4,4.8,192299,46.1,37917,10.4,50.0
"Fresno County, California",71434,14.6,8.5,1012152,33.2,283823,49.8,49.9
"Glenn County, California",70487,9.8,7.4,28623,35.9,7501,42.1,48.7
"Humboldt County, California",61135,10.5,8.7,135418,39.6,25685,10.8,50.5
"Imperial County, California",56393,17.0,12.6,179319,33.0,51116,82.7,48.6
"Inyo County, California",72432,7.7,2.7,18803,45.6,3819,18.6,49.1
"Kern County, California",67660,15.2,8.4,910433,32.4,262550,50.1,49.1
"Kings County, California",68750,13.7,9.8,152830,32.3,41374,53.3,44.8
"Lake County, California",58738,10.9,11.5,68139,44.2,14828,20.0,49.8
"Lassen County, California",64395,10.1,7.6,31177,37.8,5580,18.2,37.9
"Los Angeles County, California",87760,9.9,7.0,9848406,37.9,2057536,35.5,50.5
"Madera County, California",75496,15.4,10.6,158790,34.6,43447,57.2,50.9
"Marin County, California",142785,4.0,6.1,258765,47.3,51012,8.2,50.9
"Mariposa County, California",65378,9.5,6.9,17060,51.6,2874,11.3,48.5
"Mendocino County, California",64688,10.7,9.3,90709,43.9,19142,24.1,50.4
"Merced County, California",65044,15.2,10.8,285597,31.8,83242,59.8,49.3
"Modoc County, California",56648,11.3,6.0,8646,49.0,1661,12.2,50.9
"Mono County, California",86953,6.7,2.0,13169,40.3,2419,25.0,44.1
"Monterey County, California",94486,9.2,5.1,435834,35.3,113201,55.8,49.1
"Napa County, California",108970,5.6,5.1,136070,42.8,27023,30.4,50.0
"Nevada County, California",84905,6.4,4.7,102452,50.3,17514,6.9,50.6
"Orange County, California",113702,6.6,5.3,3164063,39.1,674833,28.5,50.4
"Placer County, California",114678,4.6,4.5,412435,42.4,90610,10.5,50.8
"Plumas County, California",64946,6.0,9.7,19607,52.1,3430,6.6,49.0
"Riverside County, California",89672,8.5,6.6,2449909,36.7,598671,43.8,49.9
"Sacramento County, California",88724,9.1,6.4,1584047,37.2,365667,19.3,50.8
"San Benito County, California",108289,5.8,6.0,66056,35.9,16820,55.1,49.6
"San Bernardino County, California",82184,10.7,7.1,2187816,34.4,563979,46.2,49.9
